"","inst_id","sido","sgg","bedCount","instkind","noe1","interest1","longLoan1","debt1"
"57",89,"gyeongbuk",114,178,"nursing_hospital",739267544,182699934,4.7e+09,8803424995
"58",91,"daegu",40,181,"hospital",178144816,146768216,4.2e+08,5363246293
"59",92,"busan",71,44,"nursing_hospital",282249363,282249363,4259030988,9415585411
"60",93,"busan",64,0,"nursing_hospital",467693492,467191632,6.8e+09,12048841912
"62",95,"gyeonggi",133,92,"hospital",219045847,112061304,0,15418002426
"63",96,"busan",64,128,"nursing_hospital",52630597,52630597,171881690,3513950273
"64",97,"incheon",141,50,"hospital",293352238,186562547,235500000,3647547073
"65",98,"ulsan",123,172,"nursing_hospital",122534759,105166560,0,4469770631
"66",99,"seoul",83,63,"hospital",129910642,88722194,0,5929452964
"67",100,"daegu",40,80,"hospital",99977874,56733323,2e+09,7047394204
"68",101,"choongnam",37,341,"general_hospital",1344136667,674455772,6393198470,17279339510
"69",104,"gyeonggi",80,0,"clinic",82605287,80922413,0,4331665718
"70",105,"gyeongnam",75,43,"hospital",620999659,501785283,9380244038,15730836450
"71",106,"jeonbuk",26,182,"nursing_hospital",228194537,113598011,0,2803885092
"72",107,"jeonbuk",26,0,"traditiona_hospital",228194537,113598011,0,2803885092
"73",108,"jeonbuk",26,150,"nursing_hospital",16503332,1041483,20477268,854711207
"74",109,"seoul",79,0,"dental_clinic",403788486,398976016,6851578152,12805430556
"75",110,"gyeonggi",121,44,"nursing_hospital",79881208,78679546,0,2993869156
"76",112,"daejeon",49,132,"nursing_hospital",1573829241,222787238,5636250000,15555678536
"77",113,"gyeonggi",98,55,"hospital",160888732,125918455,0,3974333153
"78",115,"incheon",139,162,"nursing_hospital",571739774,568306683,0,0
"79",116,"gyeongnam",101,243,"general_hospital",171427187,109311923,1.5e+08,11766846773
"80",118,"gyeongbuk",114,163,"hospital",145958141,110144833,5.9e+08,3531760444
"81",119,"gyeonggi",97,30,"nursing_hospital",58518818,29253542,0,4141693250
"82",120,"gangwon",112,66,"hospital",105878659,99452659,73330000,2541673060
"83",125,"jeonbuk",29,443,"nursing_hospital",71458711,66733222,4e+09,9760714932
"84",127,"gyeongbuk",54,87,"hospital",152276743,141753364,2e+09,4929773900
"85",128,"daejeon",47,197,"nursing_hospital",75454097,72654097,0,2252128208
"86",129,"ulsan",126,54,"hospital",109491484,106730634,0,2348021544
"87",132,"daegu",45,110,"nursing_hospital",54801070,52601070,0,2391937264
"88",134,"choongnam",78,64,"hospital",402413737,337684720,0,6433266635
"89",135,"gangwon",164,172,"hospital",278064409,188321117,2.85e+09,6366711463
"90",136,"gyeongnam",157,123,"hospital",159215313,159015213,4911680000,7337092616
"91",137,"busan",65,139,"nursing_hospital",185585780,149867274,1.7e+09,5486341145
"92",138,"busan",70,52,"nursing_hospital",400042611,62144223,0,2328117738
"93",139,"busan",66,159,"nursing_hospital",439303365,55308705,0,3552619390
"94",140,"gyeongbuk",114,203,"hospital",128888619,128638631,2.59e+09,4457666685
"95",141,"daejeon",50,82,"hospital",0,0,0,2792441124
"96",143,"busan",71,163,"nursing_hospital",257312789,251312789,4.4e+09,7495778716
"97",144,"daejeon",48,151,"nursing_hospital",69713374,69112374,9.9e+08,4061217029
"98",145,"gyeongnam",32,172,"hospital",535667631,251712340,7e+09,13152880675
"99",147,"gyeonggi",96,79,"nursing_hospital",216277784,176166864,1136775833,3112913269
"100",148,"busan",64,205,"nursing_hospital",1080923960,1050738614,16404780678,29593624063
"101",149,"gyeongbuk",172,105,"nursing_hospital",68643213,58393471,561600000,3094612197
"102",150,"choongnam",94,186,"nursing_hospital",65834636,61730290,0,4079713996
"103",152,"gyeongnam",156,176,"nursing_hospital",628824533,214499355,4421411421,8677466951
"104",153,"gyeongnam",32,139,"nursing_hospital",137378952,128899351,1.9e+09,3811639430
"105",154,"jeonbuk",14,246,"general_hospital",3260238297,50174481,192500000,16239697460
"106",155,"gyeonggi",31,112,"nursing_hospital",22908869,22685659,0,2670678722
"107",156,"gyeongbuk",58,79,"hospital",522247900,72572683,626630000,3981817497
"108",159,"gyeongbuk",113,371,"nursing_hospital",789142893,434378222,8.25e+08,14191230683
"109",160,"gyeongnam",156,184,"nursing_hospital",166975228,159602262,3.36e+09,5375173294
"110",162,"gyeongbuk",25,118,"hospital",179484467,121356136,4.25e+09,7089935634
"111",163,"gyeonggi",18,0,"clinic",1130640294,352004568,2328724433,11529607985
"112",164,"jeonbuk",136,326,"nursing_hospital",208281214,18920952,4089146674,12496838310
"113",166,"gyeongnam",153,135,"hospital",852105378,71182616,1.61e+09,7832408821
"114",168,"gyeongbuk",8,119,"nursing_hospital",240125262,53306929,0,2782354225
"115",169,"jeonbuk",136,148,"nursing_hospital",144772072,144763072,1.58e+09,3120289942
"116",170,"choongbuk",163,178,"hospital",649871226,138719144,7909784318,15761771313
"117",171,"gyeonggi",27,110,"nursing_hospital",34452664,33447044,0,1715081673
"118",173,"jeonbuk",147,174,"nursing_hospital",35049996,33765714,0,3206506157
"119",175,"busan",59,64,"traditiona_hospital",264227281,158605623,4103702000,7384148726
"120",176,"choongnam",167,132,"nursing_hospital",86467211,79466829,1.1e+09,2427467276
"121",177,"daejeon",47,0,"clinic",88591335,44166097,0,1579396583
"122",178,"daejeon",47,69,"traditiona_hospital",88591335,44166097,0,1579396583
"123",179,"gangwon",2,27,"hospital",213741618,86556060,7.5e+08,4155435091
"124",180,"busan",65,247,"nursing_hospital",173648621,168267791,450220000,8538970386
"125",182,"gyeongnam",101,164,"nursing_hospital",96397714,33367364,0,1486343856
"126",183,"gyeongbuk",171,272,"nursing_hospital",145061638,93909038,1963360000,3601113812
"127",187,"gyeonggi",96,445,"nursing_hospital",317440621,220749130,5428286689,9265153949
"128",189,"jeonbuk",148,34,"hospital",38509826,33048338,0,1012611303
"129",190,"choongnam",94,24,"nursing_hospital",132403149,124167516,1982847667,3456400747
"130",191,"gyeongnam",101,84,"nursing_hospital",348683260,249921361,5832918511,8178294826
"131",192,"choongnam",28,0,"traditional_clinic",104120176,0,999345696,2354158255
"132",194,"busan",67,115,"nursing_hospital",212860465,212860463,4202879737,5255032448
"133",195,"daegu",43,194,"hospital",407921278,302674990,4577432416,8182226013
"134",196,"choongbuk",165,142,"nursing_hospital",258121528,254712172,4881730447,8208113025
"135",197,"daegu",43,33,"hospital",70852609,70852609,0,2373122234
"136",200,"busan",62,163,"general_hospital",427782338,392064064,9029963823,15376480280
"137",202,"jeonnam",110,139,"hospital",270744162,216276897,2.89e+09,16256505507
"138",203,"daejeon",50,163,"nursing_hospital",236839636,99440356,1773020000,3453501302
"139",204,"gyeongbuk",132,29,"clinic",63956411,63351740,1e+09,2093003638
"140",205,"gyeongnam",32,80,"nursing_hospital",32708225,27284675,209575389,1060627438
"141",208,"gyeongbuk",95,63,"hospital",0,113003550,2707261937,4719856486
"142",209,"busan",63,151,"hospital",721898676,508846626,3921204502,6655088393
"143",211,"gyeongnam",174,62,"hospital",889853708,269203575,6566494796,7732424145
"144",214,"choongnam",73,18,"nursing_hospital",126640001,56761694,9.95e+08,1777401255
"145",215,"gyeongnam",131,84,"hospital",663473305,62879559,4.12e+09,5420903760
"146",216,"gyeongnam",75,192,"nursing_hospital",593037032,184635214,2486033407,3433619699
"147",217,"jeonbuk",26,171,"nursing_hospital",171270517,109732873,2504060000,3547085439
"148",218,"gyeongbuk",8,168,"nursing_hospital",184727441,173869761,3242405068,4195644288
"149",226,"gyeongbuk",166,18,"nursing_hospital",75268438,61767433,1536560000,2320962586
"150",227,"ulsan",125,113,"nursing_hospital",46838096,39330601,8.9e+08,1765105549
"151",230,"choongbuk",150,120,"nursing_hospital",893563040,590734083,3119960000,6416069105
"152",231,"daejeon",48,27,"hospital",948754222,223312362,3836234327,7225233016
"153",232,"gyeongbuk",8,185,"nursing_hospital",210109235,147310783,3.69e+09,6374695832
"154",233,"choongbuk",22,143,"hospital",159783451,109944841,1767999995,5465610892
"155",234,"choongbuk",117,400,"nursing_hospital",266072883,259947996,0,0
"156",235,"jeonbuk",26,172,"hospital",297916768,258105531,6.63e+09,9804439346
"157",236,"gyeonggi",121,280,"nursing_hospital",8686379500,272287592,373500000,22368402274
"158",237,"ulsan",126,18,"hospital",409896,0,5042600000,6957108183
"159",238,"jeonnam",19,119,"hospital",220316149,109898956,3.33e+09,5121516400
"160",240,"jeonnam",16,120,"nursing_hospital",91373760,90463980,2.3e+09,2514358503
"161",242,"gyeongnam",153,277,"nursing_hospital",156814533,138262733,4530250000,5516849077
"162",244,"choongbuk",22,46,"hospital",55971373,52151874,1069800000,1953076690
"163",245,"gyeongbuk",8,21,"hospital",21892426,21125689,3.5e+08,753187615
"164",247,"choongbuk",165,156,"nursing_hospital",285840193,10258573,3767739506,4464271706
"165",249,"incheon",137,24,"hospital",178168955,49024085,0,1448045017
"166",250,"seoul",129,0,"clinic",34552799,9884471,0,765103792
"167",251,"busan",65,25,"nursing_hospital",10549263,2563980,0,1696733005
"168",252,"incheon",137,27,"nursing_hospital",105801341,104254900,2861388894,3491582200
"169",253,"busan",65,153,"nursing_hospital",153821205,153821205,4194651000,5042654467
"170",255,"choongnam",9,103,"hospital",176479604,65892164,1.65e+09,1779499937
"171",256,"gyeongbuk",114,31,"traditiona_hospital",145340853,20151,0,2097045157
"172",257,"gyeongnam",32,123,"nursing_hospital",80917471,80167460,1565654457,2010848061
"173",259,"gyeongbuk",25,162,"nursing_hospital",80133952,80029864,6028978167,7324270273
"174",261,"choongnam",39,128,"nursing_hospital",162065542,140623344,2567116422,2668365532
"175",262,"gangwon",176,22,"hospital",36276147,34778285,8.3e+08,932559091
"176",263,"daegu",45,58,"hospital",2841193934,25079055,319070000,14498076509
"177",264,"jeonnam",53,652,"nursing_hospital",373254574,278774183,7402029971,9194517811
"178",265,"jeonnam",53,652,"nursing_hospital",373254574,278774183,7402029971,9194517811
"179",266,"jeonbuk",26,0,"clinic",68493032,65272619,1553400000,1864782926
"180",267,"jeonnam",103,52,"hospital",254891238,138307088,2683274464,4287417415
"181",268,"gyeongbuk",115,175,"nursing_hospital",89999280,89999280,2402046634,3567516297
"182",269,"jeonnam",175,170,"nursing_hospital",43678317,16966226,428500000,989005681
"183",270,"gangwon",2,235,"general_hospital",367549681,139830002,3651403890,20089226808
"184",271,"seoul",4,155,"general_hospital",1014764130,983049534,20325984000,33096760724
"185",272,"seoul",4,35,"hospital",89903761,0,0,589067945
"186",273,"gyeongnam",5,190,"general_hospital",1894296872,0,0,25587478691
"187",274,"gyeongnam",6,114,"nursing_hospital",0,0,0,0
"188",275,"gyeongbuk",7,194,"nursing_hospital",91619047,90596843,0,0
"189",276,"gyeongbuk",7,39,"nursing_hospital",77343799,76608214,0,0
"190",277,"gyeongbuk",7,311,"hospital",626214320,452511335,0,0
"191",278,"gyeongbuk",8,262,"nursing_hospital",391456874,374483032,7094133383,12736471807
"192",279,"gyeongbuk",8,30,"hospital",355086616,162091344,4668500000,5654906447
"193",280,"gyeongnam",11,185,"nursing_hospital",133742599,126059110,2.68e+09,4370813135
"194",281,"gyeonggi",12,0,"nursing_hospital",90129732,4239523,0,0
"195",283,"gyeonggi",13,40,"hospital",1603419564,0,0,6267387988
"196",284,"jeonbuk",14,132,"nursing_hospital",191220890,36521306,1.04e+09,2354558170
"197",285,"choongnam",17,0,"clinic",7589233,5705135,143090900,256590559
"198",286,"choongnam",17,17,"clinic",27296550,4871535,1.1e+08,291985282
"199",287,"jeonnam",19,119,"nursing_hospital",114799786,97942691,1.6e+09,2134969736
"200",288,"jeonnam",19,20,"hospital",49425625,8481748,249156000,542230666
"201",289,"gwangju",20,96,"nursing_hospital",167622560,165047724,4166400000,5218046603
"202",290,"gwangju",21,184,"hospital",70400965,62032734,1.86e+09,3692013500
"203",291,"choongbuk",22,107,"nursing_hospital",97408134,62456394,1417034719,2607050094
"204",295,"jeonbuk",29,30,"hospital",0,0,0,5289546591
"205",296,"gyeonggi",31,162,"nursing_hospital",0,387752416,11676857947,14204746893
"206",297,"gyeonggi",31,48,"traditiona_hospital",174171020,174170966,4.85e+09,5044692434
"207",298,"gyeongnam",32,160,"nursing_hospital",83065655,83065655,2.83e+09,3478120846
"208",300,"gyeongnam",32,172,"nursing_hospital",5514,0,0,465794533
"209",302,"gyeongnam",32,105,"nursing_hospital",71389252,60451225,1809100000,2237017675
"210",303,"gyeongnam",32,54,"hospital",876490991,207529356,7.44e+09,9437916643
"211",304,"gyeongnam",32,39,"nursing_hospital",2600000,0,0,1156548029
"212",305,"jeonnam",33,150,"nursing_hospital",373016309,368572919,0,0
"213",306,"jeonnam",33,66,"nursing_hospital",1304816893,417949094,0,15827363792
"214",308,"seoul",36,0,"clinic",22499097,22251498,718853232,1006269105
"215",309,"seoul",36,0,"clinic",22499097,22251498,718853232,1006269105
"216",311,"choongnam",37,132,"nursing_hospital",13668705,0,0,0
"217",312,"choongnam",37,359,"nursing_hospital",474302564,21730304,7e+08,1770147793
"218",313,"choongnam",37,181,"nursing_hospital",109873778,100155378,2.7e+09,3638414360
"219",314,"choongnam",37,96,"nursing_hospital",74820522,73150400,2284981440,2450797797
"220",315,"jeonnam",38,80,"nursing_hospital",50925822,50664742,1.23e+09,1520959116
"221",316,"jeonnam",38,50,"nursing_hospital",74969425,74460582,2339186503,3002753468
"222",317,"daegu",40,189,"general_hospital",750475285,242216292,0,0
"223",318,"daegu",42,150,"hospital",347359426,306401676,0,0
"224",319,"daegu",44,134,"nursing_hospital",69238619,66339342,2439919438,2484146420
"225",320,"daejeon",49,193,"nursing_hospital",420333030,28072696,0,0
"226",321,"daejeon",49,50,"hospital",0,0,0,35751750
"227",322,"daejeon",50,134,"nursing_hospital",98493482,62079310,1.75e+09,2249563644
"228",323,"daejeon",50,298,"nursing_hospital",109412721,102599597,1.5e+09,2780394878
"229",324,"seoul",51,19,"hospital",84140691,0,0,14291059131
"230",325,"seoul",52,16,"clinic",4123400,0,0,353345888
"231",327,"jeonnam",53,340,"general_hospital",0,0,0,0
"232",328,"gyeongbuk",54,545,"general_hospital",0,0,0,0
"233",329,"choongnam",55,82,"nursing_hospital",91100861,90514225,1.58e+09,2029169902
"234",331,"choongbuk",57,199,"nursing_hospital",104635951,90439291,0,0
"235",332,"busan",60,84,"nursing_hospital",45791068,45187036,1.4e+09,1589534408
"236",333,"busan",61,146,"hospital",140231539,65413820,1.76e+09,11684950171
"237",335,"busan",62,194,"nursing_hospital",559742865,67442885,2.04e+09,5791812668
"238",338,"busan",62,0,"nursing_hospital",0,0,0,1926987508
"239",339,"busan",63,121,"nursing_hospital",151071207,150632458,3.68e+09,4207848577
"240",340,"busan",64,172,"hospital",342895646,19925646,0,5573847775
"241",342,"busan",67,231,"nursing_hospital",561471536,160036631,4.85e+09,5774177718
"242",344,"busan",68,0,"clinic",2748281,1364824,0,95280871
"243",345,"busan",69,0,"traditional_clinic",2748281,1364824,0,95280871
"244",347,"busan",72,46,"hospital",2201163603,0,0,11298983522
"245",349,"gyeongnam",75,217,"hospital",203213871,76872540,2146197000,8347351629
"246",350,"seoul",79,0,"clinic",650564731,0,0,28678713715
"247",351,"gyeonggi",80,22,"hospital",39903758,504763,0,758594349
"248",352,"gyeonggi",80,523,"general_hospital",2517221749,0,0,68592442980
"250",354,"gyeonggi",82,14,"clinic",301129796,97144021,2798330000,3573312133
"251",355,"sejong",85,180,"nursing_hospital",165494312,108300237,3.33e+09,4298669054
"252",356,"gangwon",86,193,"general_hospital",0,0,0,0
"253",357,"gyeonggi",90,339,"general_hospital",207654215,19451740,1.39e+09,19102090043
"254",358,"gyeonggi",90,24,"hospital",162997002,163614,0,1790009782
"255",359,"gyeonggi",92,137,"nursing_hospital",75853884,73453884,1.34e+09,2504671389
"256",360,"jeonnam",93,24,"hospital",22481207,22481207,482214156,512383936
"257",361,"choongnam",94,143,"nursing_hospital",190357874,79841079,1.94e+09,2327395560
"260",364,"gyeongbuk",95,154,"nursing_hospital",1912073772,70877787,2.2e+09,5000456151
"261",365,"gyeonggi",97,247,"hospital",158833018,106981268,0,0
"262",366,"gyeonggi",98,0,"traditional_clinic",312188211,289749590,0,0
"263",367,"gyeonggi",98,4,"clinic",312188211,289749590,0,0
"264",369,"gangwon",100,39,"hospital",52796570,52076570,1539300000,1898374697
"265",371,"gyeongnam",101,0,"nursing_hospital",35747361,25169421,709930000,2961595179
"266",372,"gyeonggi",102,40,"traditiona_hospital",224305160,118211730,0,0
"267",373,"gyeonggi",104,136,"nursing_hospital",73052162,4555502,0,0
"268",375,"seoul",109,52,"hospital",7728744447,0,0,32619783048
"269",376,"gyeongbuk",111,45,"hospital",440206070,343937252,32561472110,51855575683
"270",378,"gyeongbuk",114,145,"nursing_hospital",146688906,142624620,2.36e+09,4895774271
"271",379,"choongbuk",117,152,"nursing_hospital",106643852,106643637,2232708000,2540119609
"272",381,"jeonbuk",118,88,"nursing_hospital",29461424,11261254,1.41e+09,2234738118
"273",383,"ulsan",125,176,"hospital",1756385848,707451720,15901660000,43074406247
"274",384,"ulsan",125,235,"general_hospital",1756385848,707451720,15901660000,43074406247
"275",385,"gangwon",128,42,"hospital",125718230,71284128,1.2e+09,2338658482
"276",386,"gyeongbuk",132,113,"nursing_hospital",4368790,0,3327097704,5924427544
"277",390,"gyeonggi",134,179,"nursing_hospital",0,0,3.13e+09,4067437917
"278",391,"jeonbuk",136,248,"general_hospital",177820236,177820236,7.7e+08,23161957723
"279",392,"incheon",137,171,"nursing_hospital",97861996,72012606,303970000,2058721686
"280",393,"incheon",140,24,"hospital",23374897,23374897,630290276,899764399
"281",399,"gyeongnam",154,199,"nursing_hospital",320309552,235139031,0,0
"282",400,"gyeongnam",154,66,"hospital",331901068,114872746,2.71e+09,4970463715
"283",402,"choongnam",158,159,"nursing_hospital",114924351,114919409,3750357650,3819669851
"284",405,"gyeongbuk",160,35,"nursing_hospital",110178550,31972079,1002710000,1201235216
"285",406,"gyeongbuk",160,90,"nursing_hospital",75001142,74707587,1774800000,2806875547
"286",407,"gyeongbuk",160,119,"hospital",554343170,27044684,468160000,4946246170
"287",408,"choongbuk",163,158,"nursing_hospital",183196506,175303986,0,0
"288",409,"choongbuk",163,70,"nursing_hospital",227973074,227973074,0,0
"289",411,"choongnam",167,0,"clinic",47446193,42074250,0,0
"290",412,"gyeonggi",168,86,"hospital",294028925,249199824,0,6459588502
"291",414,"gyeonggi",169,200,"general_hospital",395031513,159655690,6.5e+09,12155377425
"292",415,"gyeonggi",169,151,"general_hospital",328031203,255598097,3609250799,11437426127
"293",417,"gyeonggi",169,306,"general_hospital",8294443997,164053669,1.5e+10,67843851961
"294",418,"gyeonggi",170,109,"hospital",267823039,86869777,2.02e+09,4942361541
"295",419,"gyeongnam",174,367,"nursing_hospital",1151423562,202882821,0,8097221438
"296",420,"gyeonggi",177,0,"nursing_hospital",383181194,53451647,1.8e+09,4478687046
"297",422,"jeonnam",178,214,"nursing_hospital",743942102,187576102,5.93e+09,8715369364
"298",423,"choongnam",159,0,"hospital",139851326,129697525,0,0
"299",426,"gyeongbuk",107,0,"hospital",137980960,137980960,2498749346,6249466168
"300",427,"gyeonggi",169,180,"nursing_hospital",536691924,514368798,0,580426781
"301",428,"seoul",79,0,"traditiona_hospital",73558495,73558495,2.19e+09,5418547455
